compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag2Dy2Se4,109,tI16,1.029,insulator-indirect,25.2126,7.05193,201.701,208.959,104.5,2.05897,24.3155,23.4542,1.70974,5.85538e-05,55.955,58.0099,8,3,-4.25513,
Ag2Dy2Sn2,186,hP6,0.0,metal,24.396,8.82724,146.376,236.943,130.426,2.24595,18.1877,17.4773,2.99707,5.93056e-05,61.9469,64.4649,6,3,-3.4453,
Ag2Dy2Te4,113,tP8,0.8778,insulator-indirect,30.1672,7.23241,241.338,194.966,97.5,2.07909,24.4381,23.5243,1.7712,6.12564e-05,45.3076,47.0675,8,3,-3.7798,
Ag2Er1,139,tI6,0.0,metal,21.2597,9.97162,63.7791,191.099,132.432,2.31864,9.3018,8.83224,2.19604,7.46305e-05,58.3537,61.456,3,2,-2.00708,
Ag2Er1In1,225,cF16,0.0,metal,20.9957,9.84299,83.983,157.969,99.5338,2.42187,12.5182,11.8479,0.905129,7.57413e-05,61.5744,65.0583,4,3,-2.29152,
Ag2Er2S4,109,tI16,1.4385,insulator-indirect,22.0213,6.39536,176.17,259.945,130.0,2.02123,23.924,23.1537,2.5908,5.42192e-05,67.2989,69.5379,8,3,-4.69825,
Ag2Er2Sn2,186,hP6,0.0,metal,24.0216,9.07448,144.13,233.914,128.775,2.26373,18.2176,17.492,2.85643,5.99998e-05,62.7316,65.3341,6,3,-3.40374,
Ag2F6Rb2,140,tI20,0.239,insulator-indirect_spin-polarized,17.8946,4.64592,178.946,262.796,122.074,2.46706,31.9418,28.9933,0.829701,0.00013215,41.596,45.8262,10,3,-3.30228,
Ag2Ga2O4,194,hP8,0.9858,insulator-indirect,12.4458,6.99145,99.5661,338.858,169.5,2.24994,23.4502,22.5882,2.33078,5.57988e-05,124.834,129.598,8,3,-4.49855,-0.600733
Ag2Ga2S4,122,tI16,1.4952,insulator-direct,22.4072,4.47841,179.258,261.901,131.0,2.20516,24.2996,23.1566,1.57514,7.31694e-05,53.3909,56.0264,8,3,-3.36845,
